epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,12101.1,1.37367,3.16503,1.32595,0.86271,0.82897,0.89151,0.62681,1.25714,2.22845,1.21469,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,12523.6,1.3714,3.12255,1.31899,0.8656,0.83,0.8921,0.62838,1.25419,2.2233,1.21368,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,12969.9,1.36929,3.14212,1.31602,0.86916,0.82915,0.89227,0.62909,1.25315,2.21839,1.213,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,13392.9,1.36552,3.12369,1.31549,0.86925,0.83155,0.89192,0.62961,1.25266,2.21213,1.21243,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,13818.8,1.36168,3.09817,1.31458,0.86833,0.83222,0.89202,0.62954,1.25172,2.206,1.21211,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,14255.1,1.35395,3.04842,1.30422,0.87296,0.83033,0.89267,0.63089,1.2516,2.20381,1.21147,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,14697.3,1.34845,3.05785,1.30238,0.87591,0.83111,0.89331,0.63138,1.25124,2.19644,1.21153,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,15132.5,1.34359,3.01439,1.29898,0.87336,0.83221,0.8939,0.63162,1.24956,2.19084,1.21008,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,15578.8,1.34262,3.00196,1.30088,0.87497,0.83102,0.89385,0.63198,1.24797,2.1868,1.20897,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,15980.3,1.34571,3.0155,1.30466,0.87501,0.83278,0.89366,0.63278,1.24697,2.1826,1.20787,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,16339.1,1.32765,2.95226,1.29031,0.87363,0.83316,0.89398,0.63268,1.24599,2.1781,1.20688,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,16689.9,1.32473,2.95276,1.291,0.87586,0.8319,0.89422,0.63348,1.24465,2.17508,1.20587,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,17042.7,1.3258,2.94122,1.28752,0.87531,0.8324,0.89439,0.63338,1.244,2.16932,1.20522,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,17395.8,1.32559,2.93776,1.28904,0.86957,0.83764,0.89457,0.63413,1.24356,2.16699,1.20484,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,17762.6,1.31333,2.8894,1.28093,0.87449,0.83262,0.89459,0.63486,1.2425,2.16207,1.20385,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,18153.3,1.31188,2.88969,1.27828,0.87049,0.83577,0.89432,0.63551,1.24152,2.15898,1.20255,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,18562.2,1.30866,2.85828,1.27704,0.8721,0.83383,0.89432,0.63455,1.24137,2.15431,1.20188,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,18967.1,1.30095,2.82898,1.27002,0.87222,0.8367,0.89479,0.63577,1.24046,2.14993,1.201,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,19373.5,1.28826,2.81055,1.26823,0.87095,0.8402,0.89509,0.63622,1.24026,2.14624,1.20055,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,19748.5,1.30322,2.8327,1.26936,0.87783,0.83543,0.89589,0.63661,1.23943,2.14006,1.19957,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,20115,1.29248,2.80541,1.26671,0.87795,0.83386,0.89601,0.63687,1.23837,2.13547,1.19828,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,20477,1.28438,2.77871,1.26201,0.87896,0.83394,0.89653,0.637,1.23765,2.13373,1.19746,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,20839.3,1.28266,2.76122,1.26096,0.87331,0.83864,0.897,0.63791,1.23702,2.12839,1.1968,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,21205.1,1.28315,2.75463,1.26292,0.87222,0.84116,0.89739,0.63862,1.23608,2.12531,1.19601,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,21569.9,1.26303,2.7137,1.25215,0.87716,0.83685,0.89736,0.63943,1.23581,2.12172,1.19572,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,21932.9,1.26161,2.7073,1.2491,0.87962,0.83618,0.89814,0.64053,1.23453,2.11794,1.1945,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,22307.9,1.26752,2.70605,1.25341,0.87259,0.84241,0.89803,0.64043,1.2339,2.11392,1.19383,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
