epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,10336.5,1.11425,0.88,1.25438,0.81259,0.68624,0.75859,0.48438,1.20858,0.80173,1.32226,0.0126017,0.00420058,0.0126017,0.00420058,0.0126017,0.00420058,0.0126017,0.00420058
31,10673,1.11256,0.87658,1.25293,0.81821,0.67433,0.75695,0.48517,1.20776,0.80017,1.32169,0.0120018,0.0040006,0.0120018,0.0040006,0.0120018,0.0040006,0.0120018,0.0040006
32,11017.7,1.10309,0.86975,1.2473,0.83474,0.67103,0.7592,0.48721,1.20662,0.79762,1.32046,0.0114019,0.00380062,0.0114019,0.00380062,0.0114019,0.00380062,0.0114019,0.00380062
33,11361.2,1.09695,0.85829,1.24156,0.82144,0.66567,0.75102,0.48766,1.20468,0.79672,1.31856,0.0108019,0.00360064,0.0108019,0.00360064,0.0108019,0.00360064,0.0108019,0.00360064
34,11701.4,1.09006,0.84587,1.23735,0.82617,0.6713,0.75582,0.48757,1.20411,0.79608,1.31849,0.010202,0.00340066,0.010202,0.00340066,0.010202,0.00340066,0.010202,0.00340066
35,12038.9,1.07748,0.83645,1.22881,0.8348,0.67055,0.75741,0.48759,1.20374,0.79399,1.31798,0.00960204,0.00320068,0.00960204,0.00320068,0.00960204,0.00320068,0.00960204,0.00320068
36,12374.9,1.07469,0.8211,1.22354,0.82665,0.67419,0.75848,0.48836,1.20359,0.79217,1.31811,0.0090021,0.0030007,0.0090021,0.0030007,0.0090021,0.0030007,0.0090021,0.0030007
37,12709.5,1.06723,0.81103,1.21875,0.83837,0.67363,0.76048,0.48974,1.2027,0.78919,1.31752,0.00840216,0.00280072,0.00840216,0.00280072,0.00840216,0.00280072,0.00840216,0.00280072
38,13051,1.05667,0.80351,1.21435,0.83877,0.67417,0.75954,0.4898,1.20277,0.78744,1.31735,0.00780222,0.00260074,0.00780222,0.00260074,0.00780222,0.00260074,0.00780222,0.00260074
39,13396.2,1.05157,0.79387,1.20924,0.83805,0.67767,0.75861,0.48919,1.20239,0.7857,1.31701,0.00720228,0.00240076,0.00720228,0.00240076,0.00720228,0.00240076,0.00720228,0.00240076
40,13727.1,1.03797,0.7888,1.20535,0.8367,0.67919,0.75883,0.48916,1.202,0.78497,1.31658,0.00660234,0.00220078,0.00660234,0.00220078,0.00660234,0.00220078,0.00660234,0.00220078
41,14053.7,1.02291,0.63555,1.19556,0.83571,0.68043,0.75821,0.48972,1.2009,0.78386,1.31561,0.0060024,0.0020008,0.0060024,0.0020008,0.0060024,0.0020008,0.0060024,0.0020008
42,14376.9,0.99587,0.6027,1.17784,0.83724,0.68281,0.75694,0.48962,1.20065,0.78118,1.31521,0.00540246,0.00180082,0.00540246,0.00180082,0.00540246,0.00180082,0.00540246,0.00180082
43,14697.7,0.98162,0.59269,1.17112,0.83658,0.68523,0.75919,0.48989,1.19941,0.77889,1.31436,0.00480252,0.00160084,0.00480252,0.00160084,0.00480252,0.00160084,0.00480252,0.00160084
44,15033,0.96452,0.58007,1.16412,0.83502,0.68841,0.75787,0.48943,1.19794,0.77684,1.31353,0.00420258,0.00140086,0.00420258,0.00140086,0.00420258,0.00140086,0.00420258,0.00140086
45,15356.5,0.95817,0.5602,1.1502,0.83609,0.68611,0.75744,0.49026,1.19736,0.77525,1.31315,0.00360264,0.00120088,0.00360264,0.00120088,0.00360264,0.00120088,0.00360264,0.00120088
46,15678.1,0.93653,0.55233,1.14424,0.83643,0.68239,0.75801,0.48974,1.19651,0.77342,1.31293,0.0030027,0.0010009,0.0030027,0.0010009,0.0030027,0.0010009,0.0030027,0.0010009
47,16000.8,0.92314,0.5373,1.12975,0.83796,0.67759,0.75732,0.49004,1.19569,0.77163,1.31328,0.00240276,0.00080092,0.00240276,0.00080092,0.00240276,0.00080092,0.00240276,0.00080092
48,16328.5,0.91317,0.52794,1.12557,0.84902,0.67589,0.75747,0.49106,1.19511,0.77021,1.31337,0.00180282,0.00060094,0.00180282,0.00060094,0.00180282,0.00060094,0.00180282,0.00060094
49,16650.2,0.90522,0.52103,1.11934,0.86166,0.67022,0.75777,0.49116,1.19537,0.76884,1.31421,0.00120288,0.00040096,0.00120288,0.00040096,0.00120288,0.00040096,0.00120288,0.00040096
50,16971.1,0.89208,0.51178,1.11274,0.8595,0.66866,0.75618,0.49088,1.19571,0.76811,1.31528,0.00060294,0.00020098,0.00060294,0.00020098,0.00060294,0.00020098,0.00060294,0.00020098
